Name;Date;Amount;Category;Notes
Edward Luettgen;6-10-2023;9424.13;travel; virgo acquiro sed arceo totus conspergo copiose corrigo. 
  DR. MOSES DOUGLAS  ;5/4/2023;5195.53;Other;Contabesco eum cometes adulescens acquiro vis derideo blandior ater.
Stewart Robel;3-17-2023; 6940.21 ;Other;Compello bardus sunt certe sunt agnosco subito sum sum subito.
dr. clifford torp;2023-11-06; 4461,38 ;Office; Consectetur corrupti patrocinor audacia canonicus. 
Christy Skiles MD;5/12/2023; 7273.32 ;Food; Aqua terror termes combibo canto quos adulescens depraedor nihil studio. 
  STEVE RIPPIN  ;10-2-2023;9497.78;Health;Concido animadverto theca contabesco alioqui cavus vis nobis.
LYNN LIND;3-12-2023;9072.17;Food;ASCIT NAM CONSCENDO AURUM.
VELMA WINTHEISER-DECKOW;9/7/2023;7999.44;Other;vinum depono pauper.
  MR. PHILLIP KIRLIN  ;2023-12-16;1133.96;Food;Defetiscor verecundia cunae.
Loretta Stamm;14/10/2023; 9928.63 ;Other;Cognatus cupressus corrupti caute.
Brandon Schumm;2023-03-03; 2709,69 ; OFFICE ;Officia dolorem vitae ea defaeco absum virgo crastinus ver.
Herbert Schoen DDS;2/2/2023; 971,93 ;Travel;Ab maxime volo conor coruscus comprehendo causa.
  Roberta Jakubowski IV  ;15/2/2023; 1133.21 ;FOOD;Patior summopere adficio eveniet vulnero aureus.
DR. ALEXIS MCLAUGHLIN;2-27-2023;1491.11; other ;Adficio vivo pax doloremque depromo comburo et tamquam decumbo.
  kelly bode sr.  ;2023-06-07;806.70;Travel;Cum vilitas avarus ara ulterius eaque.
bobbie schaefer md;2023-10-22;8683.08; Food ;Eum maxime calco vestrum.
Darrel Dickens;3-9-2023;9535.65; Health ;Casso decet dolor blandior coaegresco termes comparo.
Joanne Hansen;2023-05-10;6909,80;Health;cognatus annus cubitum atque vorax audentia colligo.
MR. WENDELL CRUICKSHANK-KIRLIN;2023-01-23; 2438.88 ;office;BASIUM COPIA DEMITTO VOLATICUS USITAS.
Melvin Parisian;2023-02-11;5861.29; Office ;Derelinquo degero cena vulticulus temeritas armarium cedo creta.
RAMIRO PFEFFER;24/10/2023;4441,17;OTHER;DESINO ADMONEO COPIA.
Freddie Boyle;2023-08-01;5867.28;Health;vestigium optio patria brevis temptatio.
Michelle Walter;2023-01-03;9399.00; Food ;caveo solitudo capitulus causa maiores allatus verbera.
LETICIA WEIMANN;2023-04-25;3248,93;other;SUPPELLEX AUREUS VULPES ADVERSUS SAPIENTE REPELLENDUS TRUCIDO ARCEO VOLUPTATUM.
  DR. GUADALUPE HELLER  ;2023-04-20;4458.17; Office ;Thesis sollicito decimus tabernus consequatur valetudo solutio cultura celebrer.
  Mr. Salvatore Murphy  ;4/1/2023; 5769.48 ;Food;turpis minus volutabrum suadeo verus civis.
julio keebler;2023-03-05; 2420.55 ;Travel;Fugit aliquid taceo uredo aegrotatio nostrum vilitas.
  louise stamm  ;29/6/2023;3723.37;OFFICE;Arguo tabella patior modi in urbanus crur caveo timidus a.
Vicky Bosco;2023-10-23;9649,07;Other;Officia repellat coaegresco.
dana schiller;2023-03-16; 7394.75 ;other;Contabesco ambulo sub.
JUAN TORPHY;16/7/2023;1041.80; travel ;Ventus adinventitias agnosco ademptio ulterius.
  Marion Cormier  ;6-12-2023;1066.37;Health;Administratio tamdiu acerbitas creator suus harum possimus deporto arguo adulescens.
silvia klocko;10/9/2023; 8665.33 ; TRAVEL ;DESIPIO VIRGA VARIUS OPTIO TUMULTUS.
Florence Swift;11-10-2023;9530,05;Other;Demoror vel tergeo agnosco cernuus.
VICKY DICKINSON;2023-04-25;4120.54;Health;Ago convoco voro tero vulgo utique valens architecto appono sortitus.
duane murray;16/12/2023;9113.15;Travel;Ait villa defluo claro xiphias qui peior maxime.
Mindy Hartmann;19/4/2023;5758.87;Other; claro beatae trado sed quam repudiandae conventus. 
HUBERT PREDOVIC;9/12/2023;5874,78;FOOD;rem degero tumultus annus voluptatum sum quam impedit conservo.
  Naomi Hammes  ;5-31-2023;7777.18;food; Patrocinor acerbitas thymbra adulatio debitis agnitio solvo. 
leonard wisozk;6-29-2023;6168.03;Office;Voveo alius vallum cuius adipiscor comptus decretum.
Nelson Beier;2023-01-21;3576.99;TRAVEL; TEGO CORPUS CIMENTARIUS CURTUS COMPTUS ASPERNATUR CARMEN COGO TABELLA AESTUS. 
  JONATHON MOEN  ;23/12/2023;8691.42;Travel;Corona ait rem summa caritas conitor velit ascisco nemo dolore.
  Minnie Koch  ;12/9/2023;6239.77; travel ;Delectatio pauper animus terror crux virtus tolero.
dr. roland hansen;20/3/2023;6837.02; Travel ;ubi vel delectatio adiuvo debilito cauda deputo.
Dr. Francisco Hamill;9-27-2023;4298.26;Other; Denego atavus ulterius audax adnuo. 
paula goyette;19/4/2023;2242,16;Food; Administratio volutabrum aufero. 
Suzanne Rutherford;2023-02-03; 780,62 ;Travel;Quo molestiae surculus adhaero curo amet aureus degero desolo.
Melody Barton;5/8/2023;463,29;Other; vigor colo varius optio spiritus. 
randolph johnston-kerluke;2023-07-11;2693,89;Food;urbs bellicus velit aurum defungo vulticulus.
mr. jackie leffler;2023-06-04;7887.81;travel;NEQUE SUI UNA UTERQUE.
Kelli Glover-Davis;2023-07-16;9670.02;HEALTH;Aperiam cavus temporibus.
  LLOYD SCHUSTER DDS  ;20/3/2023;4270,86;Health;APERTE CITO CUPRESSUS VILIS ADFICIO SOPHISMATA COMMODI THYMUM.
Simon Hermann;2023-03-30;8006.81;HEALTH;defluo asper dolore molestias eveniet conscendo cruciamentum uterque alias.
anne von;5-8-2023;2432.20;travel;thymbra vix voluptates tabgo amaritudo.
Angel Beatty;1-7-2023; 7464.90 ; OTHER ;Tertius aedificium autem totidem.
  francis mante  ;16/4/2023;2663,32;food;Spiritus quidem cogo abundans curto utpote sumptus adhuc solutio amet.
Julia Volkman;2023-12-23;7983,77; office ;Totus comedo aetas.
PENNY TREMBLAY;21/8/2023; 79.81 ;Office;tergiversatio temptatio adeptio suppono aptus victus turba valens ait aranea.
Doris Schultz;31/10/2023;1078.18;Travel;causa cur tepesco.
Terrence Kohler;6/2/2023;7945.80;food;Nulla defetiscor unde solus vulgus.
Bobbie Lehner Sr.;8/1/2023; 6737,34 ;office;Trado advenio theca maiores bardus vicissitudo eos.
gertrude jakubowski;7-27-2023;6873.45;Food; Cedo defendo viduo crux accommodo aufero. 
  Cecil Reynolds  ;2023-02-10; 8195.16 ;food;Aequus doloremque vespillo alias appello creptio vinitor cribro tamquam.
dewey fahey;6-3-2023; 1530.97 ;Travel;Socius animi arcus cras amoveo consequatur viduo ustilo assentator.
Deborah Douglas;6/2/2023;4244.40;Other;Somnus adulescens adinventitias crastinus.
Kurt Cormier;7-14-2023; 2361,13 ; HEALTH ;Tabgo ultio bestia stabilis argentum.
Mr. Phillip Friesen;24/1/2023; 5925.02 ;OTHER; Compono spes auctor aiunt ara aveho tener vomica. 
dr. candice weimann;2023-09-15;8343,20;Food;CRAS TERGUM ARS VERSUS TERRA CERVUS CONSUASOR SURGO USUS DECUMBO.
katie schinner;10-7-2023;6285,81; Other ;curiositas statua texo arbustum culpa vinum.
Minnie Powlowski;12-23-2023;5281,27;TRAVEL;Cunabula crepusculum viscus nulla demoror vindico amitto.
Philip Parisian;9-6-2023;3477.64;travel;Odit sint titulus asperiores abeo ducimus conculco.
Brett Renner;2023-03-23;4207.63;Health;Caritas atqui complectus.
Holly Kunde;5-22-2023;9748.17; Office ;Viridis votum subvenio.
MONICA CRIST;2023-08-13; 2450.70 ; Food ; aequus acies altus adipiscor cogito trans. 
  ESTHER KESSLER  ;17/12/2023;9574.47;Health;Valeo nihil sperno subseco demonstro tempus.
Erma Lueilwitz;2023-09-01;8515,91;Other;Sol corrumpo cur caecus.
  Bobby Schoen-Ryan PhD  ;3-4-2023;1564.12;OFFICE;praesentium somniculosus vester ex vulticulus.
Mr. Alfonso Swaniawski;2/12/2023;81.59;Health; Comprehendo perspiciatis coma apostolus quibusdam. 
Eva Champlin;29/8/2023;3645.69;Office;ARX ACCEPTUS CUNAE DAMNO TUNC AMBULO VILIS.
Alice Nicolas PhD;25/8/2023;1489.20;Office;Cibus esse numquam adfero turba suffoco claudeo.
Timothy Dach II;22/6/2023;5594.70; Health ;Aut modi defleo.
mr. clyde reichel;15/5/2023;6413.15;Office;Antepono arca cedo vulticulus attollo a.
